ticker,date,score,signal,entry_price,comp_trend,comp_wyckoff,comp_vwap,comp_comparative_strength,comp_support_resistance,return_5d_pct,return_10d_pct,return_20d_pct
ACES,2024-02-09,-45,jual,30.43,-30,-20,15,-15,5,1.54,-6.79,-4.02
ACES,2024-02-16,20,pantau,30.9,0,-20,15,15,10,-8.21,-5.99,-11.98
ACES,2024-02-26,20,pantau,28.37,30,10,-15,-15,10,2.42,2.97,-2.83
ACES,2024-03-04,-20,pantau,29.05,0,10,-15,-15,0,0.54,-6.37,-3.67
ACES,2024-03-11,10,pantau,29.21,0,10,15,-15,0,-6.87,-5.63,-0.64
ACES,2024-03-18,-50,jual,27.2,-30,10,-15,-15,0,1.33,2.88,-6.25
ACES,2024-03-25,-40,jual,27.57,-30,10,-15,-15,10,1.53,5.29,-5.08
ACES,2024-04-02,-40,jual,27.99,-30,10,-15,-15,10,3.71,-8.87,-6.05
ACES,2024-04-09,-25,pantau,29.02,-30,10,15,-15,-5,-12.13,-9.85,-2.56
ACES,2024-04-16,-50,jual,25.5,-30,10,-15,-15,0,2.6,3.09,15.0
ACES,2024-04-23,-20,pantau,26.16,-30,10,15,-15,0,0.49,8.08,11.98
ACES,2024-04-30,-20,pantau,26.29,-30,10,15,-15,0,7.56,11.55,14.82
